model,best_val_loss,exact_match,word_bleu4,char_bleu4,char_accuracy,sequence_similarity,seconds
Problem 1 Baseline GRU,5.217746093869209,0.0,0.0322624294985161,0.1413670909678213,0.148515740167747,0.4147016905260818,4.442326068878174
Problem 2 Attention GRU,5.001370428396123,0.0,0.0504043314091732,0.2341035123003597,0.1760151081023019,0.4759610251802449,5.024284362792969
