experiment,direction,architecture,train_size,validation_size,source_vocab,target_vocab,best_val_loss,exact_match,word_bleu4,char_bleu4,char_accuracy,sequence_similarity,seconds,history_csv,samples_csv
problem1_baseline_en_fr,English-to-French,Baseline GRU encoder-decoder,444,111,901,996,5.217746093869209,0.0,0.03226242949851619,0.1413670909678213,0.14851574016774702,0.4147016905260818,4.442326068878174,/home/gilberto/Homework_3/results/problem1_baseline_en_fr_history.csv,/home/gilberto/Homework_3/results/problem1_baseline_en_fr_samples.csv
problem2_attention_en_fr,English-to-French,GRU with Luong attention,444,111,901,996,5.001370428396123,0.0,0.050404331409173275,0.23410351230035975,0.17601510810230198,0.47596102518024497,5.024284362792969,/home/gilberto/Homework_3/results/problem2_attention_en_fr_history.csv,/home/gilberto/Homework_3/results/problem2_attention_en_fr_samples.csv
problem3_baseline_fr_en,French-to-English,Baseline GRU encoder-decoder,444,111,996,901,4.858253790454159,0.0,0.030094929077989267,0.14387277549096816,0.15967012252606327,0.4098067397092275,3.0111048221588135,/home/gilberto/Homework_3/results/problem3_baseline_fr_en_history.csv,/home/gilberto/Homework_3/results/problem3_baseline_fr_en_samples.csv
problem3_attention_fr_en,French-to-English,GRU with Luong attention,444,111,996,901,4.718663221320606,0.0,0.03970184560030371,0.18584224123280568,0.15579077587152515,0.4432768674878665,4.819657325744629,/home/gilberto/Homework_3/results/problem3_attention_fr_en_history.csv,/home/gilberto/Homework_3/results/problem3_attention_fr_en_samples.csv
