epoch,train_loss,val_loss
1,6.792182285844969,6.511750103639705
2,6.192802924789949,5.924858842045069
3,5.500373100531177,5.916220770350525
4,5.301293431161248,5.945979468524456
5,5.194565776457602,5.842062230088881
6,5.057669057261399,5.780705322644541
7,4.95360463998992,5.713489894888231
8,4.83897047059394,5.696583862815585
9,4.7216088491895425,5.6691077048225065
10,4.610206806432173,5.613129038895879
11,4.477501945043313,5.569051570658173
12,4.355926198584279,5.512982186462198
13,4.215584093604631,5.510537826589176
14,4.086318646089544,5.449847914810691
15,3.9846751316907847,5.434998373367956
16,3.809252836857316,5.346630476415157
17,3.6914009359132494,5.326477894825595
18,3.5013795061012165,5.250862967222929
19,3.3488929472333644,5.228840933846576
20,3.2596865311187426,5.199503866689546
21,3.076674525899098,5.156661255019052
22,2.925024212199598,5.131929678044149
23,2.774077286121816,5.114734714584691
24,2.662217891168015,5.117168878338167
25,2.504183952693928,5.0885834113827775
26,2.44366144299714,5.0302389194922785
27,2.3076720075017114,5.057580009102821
28,2.155801443987461,5.043256724519389
29,2.0756121735272206,5.015478900500706
30,1.903091634333375,5.0426157893879076
31,1.8675432154179448,5.014627772250345
32,1.686979268967864,5.029645482876471
33,1.5969408695721226,5.0602263031261305
34,1.5428397665139635,5.058793787445341
35,1.4561657796297685,5.0816648091588705
36,1.345663086157303,5.0934654633913725
37,1.2705493412519757,5.127085381320545
38,1.2649226863995118,5.157875781080553
39,1.1117009778737057,5.137763610375779
40,1.0966238429464998,5.160131827528987
41,1.0083092188407672,5.17892919534019
42,0.9292333835877042,5.23107078990766
43,0.8670356226594824,5.262235785169261
44,0.8490067453416115,5.229317385171141
45,0.7874716686643983,5.263675492789064
46,0.7359071921550724,5.2673013008066585
47,0.7040425284774818,5.289921444973776
48,0.6454352238848418,5.322341044566461
49,0.6123094545960633,5.341387932321855
50,0.5816589183825299,5.377145442047289
51,0.5797278760329638,5.313139183712857
52,0.5083319647954061,5.393725933240993
53,0.48495075503065793,5.4112553623105795
54,0.4721549352757016,5.426107954766069
55,0.42940983892417905,5.435490993516786
56,0.40581509911338326,5.510258170643023
57,0.39105665775962895,5.531322056161506
58,0.35623203616151927,5.529285580984184
59,0.3315328539555441,5.552718975714275
60,0.337902712470331,5.60138614582164
