epoch,train_loss,val_loss
1,6.662137717853786,6.296076467693633
2,5.95719051361084,5.594107927952108
3,5.297947057078416,5.581285922263035
4,5.1596052823025556,5.546035421050917
5,5.009939601771194,5.4893091335910436
6,4.897383155128959,5.450387005015977
7,4.799981077267121,5.411942760481169
8,4.7093250598625245,5.37506927608449
9,4.6006832863634815,5.34887245869324
10,4.492577788127189,5.286809657554945
11,4.373024472913966,5.228111541598005
12,4.249393364210164,5.162339190050019
13,4.133953486065094,5.1318735388663725
14,4.003782432117533,5.058656158833736
15,3.849830423051126,5.03396271408954
16,3.723910526488477,5.006468202843285
17,3.57663687993801,4.981040664168166
18,3.4644762692116338,4.925661670152849
19,3.3170284985320047,4.91130991970967
20,3.176560771230117,4.86242638270818
21,3.0220003719688493,4.831388133075155
22,2.9023030911068144,4.848303274261511
23,2.7870502387404295,4.780814765320915
24,2.6231433314107053,4.822091637976263
25,2.5127263657849754,4.754604032127735
26,2.4096179672880913,4.7425323692067165
27,2.2706325559081044,4.731450033699372
28,2.1143093652628204,4.742019847692551
29,1.9882704105535947,4.721506402376013
30,1.8590118001627423,4.730139408407109
31,1.7633945348450935,4.696796990691266
32,1.6881185935031617,4.693905618392526
33,1.5800110233623796,4.695230271449675
34,1.4896650482267693,4.712341686539769
35,1.4000927892624964,4.697562569514787
36,1.2708289561891968,4.732533940825616
37,1.244143470441957,4.768892003469729
38,1.1596416534830698,4.6855365494010845
39,1.057141136887923,4.7757260029307425
40,1.0294039174271277,4.730154492147489
41,0.9371025556774234,4.812578453068512
42,0.8835338274552114,4.741068014797352
43,0.8211247478181131,4.800236098956721
44,0.7991747053939523,4.861384328698941
45,0.7246889410271744,4.764242562690708
46,0.677918899441471,4.813497797951227
47,0.6338257236927564,4.830198385718326
48,0.6053385135020634,4.902326364483112
49,0.5818432682870202,4.891907652171775
50,0.5206755811277359,4.983505647998032
51,0.4768593210805065,4.962947370326845
52,0.4729035748984164,5.058038688814256
53,0.4518848922558395,4.939570441149415
54,0.4277507200396164,5.056139761841766
55,0.3957329908277927,4.966361685219766
56,0.37762287908616105,5.067821569749652
57,0.36716405751525844,5.029384554498102
58,0.3334777461394723,5.070115895890792
59,0.31762777739256143,5.098113847148291
60,0.2985165813976828,5.033576515775187
