model,direction,best_val_loss,exact_match,word_bleu4,char_bleu4,char_accuracy,sequence_similarity,seconds
Problem 1 Baseline GRU,English-to-French,5.217746093869209,0.0,0.0322624294985161,0.1413670909678213,0.148515740167747,0.4147016905260818,4.442326068878174
Problem 2 Attention GRU,English-to-French,5.001370428396123,0.0,0.0504043314091732,0.2341035123003597,0.1760151081023019,0.4759610251802449,5.024284362792969
Problem 3 Baseline GRU,French-to-English,4.858253790454159,0.0,0.0300949290779892,0.1438727754909681,0.1596701225260632,0.4098067397092275,3.011104822158813
Problem 3 Attention GRU,French-to-English,4.718663221320606,0.0,0.0397018456003037,0.1858422412328056,0.1557907758715251,0.4432768674878665,4.819657325744629
