epoch,train_loss,val_loss
1,6.856369979123699,6.743825000843832
2,6.606869130413128,6.383326505976064
3,6.175758153182913,5.86792455347521
4,5.568777884135293,5.725695986300707
5,5.26563281886077,5.752503572830132
6,5.165425521366302,5.752495603369815
7,5.078990053206665,5.6866551866488795
8,5.011407280602573,5.6441733826483995
9,4.948157652462749,5.679280678076403
10,4.901929442768086,5.669335775077343
11,4.857064779815541,5.646545051464012
12,4.772539790480588,5.6424655344869405
13,4.7484215790995155,5.61149751128895
14,4.679179874440023,5.591005727116551
15,4.593498749151059,5.567785235387938
16,4.5418396987550995,5.529958937317133
17,4.460521297554117,5.491356345691851
18,4.38571316703611,5.47682687746627
19,4.323712498414992,5.440377128975732
20,4.2741426817594474,5.406760185424771
21,4.167344384968384,5.383312667054789
22,4.1284335686886084,5.356163610305105
23,4.119175653639662,5.326911320111582
24,4.01685077045059,5.31505901951875
25,3.9755676468374275,5.298530053347349
26,3.9451010477480826,5.276187849896295
27,3.7961739451296417,5.266560818467822
28,3.8023450127083693,5.253302484750748
29,3.7748231751991876,5.254925691123519
30,3.6434091235806725,5.247857789375952
31,3.635191366740084,5.247751811785357
32,3.5174757423533256,5.246928829699755
33,3.5052152739707414,5.258756473128285
34,3.484478829015949,5.25971182435751
35,3.4665827808385643,5.238020712775843
36,3.3707120822577754,5.223209240606853
37,3.286514046290074,5.2268867790699005
38,3.26270675266182,5.237659113215549
39,3.2619067583558463,5.2226710468530655
40,3.1834171860117384,5.2407900754894525
41,3.193600706174375,5.233593858778477
42,3.116422238344399,5.246169999241829
43,3.0034326128079893,5.223364228648799
44,2.963326085227428,5.225676284836871
45,2.906176338932154,5.2345639153250625
46,2.771636063546511,5.25115899422339
47,2.785748416802454,5.239973110812051
48,2.7737272144260263,5.259634808770248
49,2.744362450321676,5.276608976402453
50,2.6854693953049122,5.272223154348986
51,2.7061369381177074,5.24867066528116
52,2.535702641193683,5.28276203306658
53,2.4859344969601076,5.279230879353626
54,2.4778708353974763,5.299272950206484
55,2.4256858485775092,5.29496972954699
56,2.3653446553827644,5.30347957781383
57,2.3394135201577164,5.291474389178412
58,2.208209113484521,5.320252305162804
59,2.281314222849884,5.323813455445426
60,2.160715439127938,5.326226455292532
