epoch,train_loss,val_loss
1,6.727201062859795,6.574353581247796
2,6.441196404608786,6.2159541070958575
3,5.95356187132519,5.678322831268674
4,5.370956080468456,5.481326298719368
5,5.075976273134516,5.471076993749025
6,4.960318286086716,5.449513922431046
7,4.875118065262546,5.41786054604386
8,4.807017605636917,5.38392659108886
9,4.748586709931511,5.363354428306097
10,4.689776863328626,5.346526614247119
11,4.637803112828482,5.349243254996881
12,4.614752081260728,5.332659658857125
13,4.563116299238804,5.299421505933723
14,4.515442795141999,5.298212135505904
15,4.4839026619267965,5.262298425417549
16,4.388356956100934,5.248592739878167
17,4.326192209370774,5.204473465929725
18,4.291128462986646,5.175170627339378
19,4.203209022852407,5.136734371958245
20,4.121394945425699,5.100509528181692
21,4.069346683974919,5.057021141620586
22,3.9941224888720437,5.036130245308768
23,3.913025131428433,4.994455485292782
24,3.8562469453023778,4.993616480935316
25,3.7705817960487487,4.963472026465761
26,3.728824882927717,4.9760607962670855
27,3.746669198963998,4.909565686327055
28,3.635079071936272,4.934850386982169
29,3.5405672954719254,4.899045238904078
30,3.4609972711850037,4.894291328730259
31,3.438902526542673,4.883743831739096
32,3.3825769358292757,4.905901969686878
33,3.3649142879152123,4.884699912974888
34,3.2122497980456464,4.858253790454159
35,3.2261228752489006,4.913318306669433
36,3.158795105396746,4.888630149191128
37,3.04372157202402,4.90813253377703
38,3.017238042504514,4.896018327206053
39,2.9950101318988493,4.937821647975953
40,2.961221374507015,4.9151731242156
41,2.926163952682815,4.891327086165636
42,2.956385161667952,4.925710102372289
43,2.793198064869929,4.904177060428478
44,2.8008413105357883,4.909825469938876
45,2.7137824944444415,4.916816506823425
46,2.8517988076486365,4.888504521070987
47,2.602051830027165,4.937967822151047
48,2.555508178935539,4.88529006801146
49,2.6647514327533735,4.902679226253541
50,2.5559998499332903,4.907685488426927
51,2.496531247357699,4.8924359917214435
52,2.3811498817915395,4.980252354022857
53,2.4816342027060934,4.922943321541751
54,2.369969208643263,4.966731081702286
55,2.2697331596684958,4.944350186349098
56,2.261179765408489,4.942720740571778
57,2.210776904728792,4.95734364085601
58,2.2261971419748336,4.960921959314358
59,2.2077619867024967,4.954089771152537
60,2.148786426692944,4.962128860305405
